SUBSTATION_NUMBER,TRANSFORMER_TYPE,TOTAL_CUSTOMERS,Transformer_RATING,Percentage_IC,LV_FEEDER_COUNT,GRID_REFERENCE
536753,Grd Mtd Dist. Substation,126,800,0.807760218,5,SO280900011100
536754,Grd Mtd Dist. Substation,33,500,0.913706191,5,SO281200010700
536779,Pole Mtd Dist. Substation,1,16,1,1,SO371100004900
536787,Grd Mtd Dist. Substation,0,500,1,0,SO270400032300
536816,Pole Mtd Dist. Substation,1,25,1,1,ST295000890500
536894,Grd Mtd Dist. Substation,186,315,0.006234164,0,SO265500053800
536920,Grd Mtd Dist. Substation,1,1000,0.990811662,1,SO280200009800
536976,Grd Mtd Dist. Substation,0,800,1,2,SO286600006400
537024,Grd Mtd Dist. Substation,2,800,1,1,ST365300900400
537039,Grd Mtd Dist. Substation,67,315,0.081526385,2,SO264900041300
537061,Pole Mtd Dist. Substation,0,16,1,0,ST300700900500
537099,Pole Mtd Dist. Substation,1,0,1,0,ST289000887600
537112,Pole Mtd Dist. Substation,8,50,0.275781231,0,SO268600070200
541000,Grd Mtd Dist. Substation,101,200,0,2,SS973900982800
541001,Grd Mtd Dist. Substation,158,315,0.017546655,2,SS976500981300
541002,Grd Mtd Dist. Substation,2,100,1,1,SS972800988000
541003,Grd Mtd Dist. Substation,211,500,0,7,SS971500986000
541004,Grd Mtd Dist. Substation,0,500,1,1,ST972400931800
541005,Grd Mtd Dist. Substation,275,500,0.40413478,4,SS974400984600
542019,Grd Mtd Dist. Substation,110,500,0.51509115,3,SS990300974200
542025,Grd Mtd Dist. Substation,43,315,0.114951673,2,ST002400971700
542026,Grd Mtd Dist. Substation,63,200,0.27062379,2,ST001600974500
542027,Grd Mtd Dist. Substation,35,500,0.831614588,2,ST000600970500
542028,Pole Mtd Dist. Substation,109,200,0.006950189,2,SS999800972800
542029,Grd Mtd Dist. Substation,225,300,0.037626777,4,SS999500971500
542030,Grd Mtd Dist. Substation,184,315,0.055155251,4,SS997900976800
542033,Grd Mtd Dist. Substation,137,500,0.047483302,2,SS971800983000
542034,Pole Mtd Dist. Substation,2,25,1,1,ST030400955500
542047,Pole Mtd Dist. Substation,8,50,0.999561656,1,ST007600969400
542048,Pole Mtd Dist. Substation,2,15,0,1,ST006500967900
542049,Grd Mtd Dist. Substation,76,500,0.035088467,2,ST050100952100
